file_keys,squeaky_stairs3-LFM1,squeaky_stairs3-LFM2,squeaky_stairs3-NMF1,squeaky_stairs3-NMF2,squeaky_stairs3-TNMF1,squeaky_stairs3-TNMF2,squeaky_stairs3-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.4,0.72,0.05,0.27,0.55,0.04,0
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.21,0.46,0,0,0.28,0,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0.25,0.25,0,0,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.24,0.44,0.38,0.46,0.67,0.5,0
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.56,0.71,0.1,0.08,0.43,0.21,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.42,0.28,0.16,0.03,0.56,0.32,0.08
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0,0.25,0,0,0,0,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.28,0.41,0.28,0.23,0.38,0.03,0.05
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0,0,0,0,0,0,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.23,0.24,0.15,0.23,0.22,0.12,0.12
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.13,0.78,0.52,0.52,0.6,0.29,0.28
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.09,0.41,0.07,0.08,0.21,0.2,0.02
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.48,0.33,0.04,0.5,0,0.06,0.35
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.17,0.51,0.12,0.21,0.5,0.34,0.07
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.5,0.51,0.12,0.4,0.44,0.24,0.25
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.3,0.49,0.25,0.5,0.59,0.46,0.18
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.78,0.93,0.26,0.33,0.64,0.69,0.46
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.31,0.7,0.26,0.41,0.47,0.58,0.26
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.24,0.77,0.41,0.64,0.85,0.51,0.23
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.11,0.24,0.08,0,0.1,0,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.34,0.3,0.33,0.12,0.11,0.13,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.12,0.18,0.2,0.12,0.19,0.18,0.14
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.33,0.38,0,0.21,0.24,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.25,0.26,0.23,0.07,0.01,0.11,0
